slide,species,tissue
GSE223560_GSM6963518,mouse,liver
GSE223560_GSM6963519,mouse,liver
GSE223560_GSM6963520,mouse,liver
GSE223560_GSM6963521,mouse,liver
GSE223560_GSM6963523,mouse,liver
GSE223560_GSM6963524,mouse,liver
GSE223560_GSM6963525,mouse,liver
GSE223560_GSM6963526,mouse,liver
GSE224335_GSM7019835,human,ovary
GSE224335_GSM7019836,human,ovary
GSE224360_GSM7020543,mouse,brain
GSE224360_GSM7020544,mouse,brain
GSE224360_GSM7020545,mouse,brain
GSE224360_GSM7020546,mouse,brain
GSE224411_GSM7021870,human,liver
GSE224411_GSM7021871,human,pancreas
GSE224411_GSM7021872,human,pancreas
GSE225766_GSM7055901,mouse,gastrocnemius
GSE225766_GSM7055902,mouse,gastrocnemius
GSE225766_GSM7055903,mouse,gastrocnemius
GSE225766_GSM7055904,mouse,gastrocnemius
GSE225766_GSM7055905,mouse,gastrocnemius
GSE225766_GSM7055906,mouse,gastrocnemius
GSE225766_GSM7055907,mouse,gastrocnemius
GSE225766_GSM7055908,mouse,gastrocnemius
GSE225766_GSM7230943,mouse,gastrocnemius
GSE225766_GSM7230944,mouse,gastrocnemius
GSE225766_GSM7230945,mouse,gastrocnemius
GSE226208_GSM7068162,mouse,brain
GSE226208_GSM7068163,mouse,brain
GSE226376_GSM7267862,mouse,skin
GSE226376_GSM7267863,mouse,skin
GSE226376_GSM7267864,mouse,skin
GSE226376_GSM7267865,mouse,skin
GSE226376_GSM7267866,mouse,skin
GSE226376_GSM7267867,mouse,skin
GSE226376_GSM7267869,mouse,skin
GSE226376_GSM7267870,mouse,skin
GSE226533_GSM7078497,human,kidney
GSE226533_GSM7078498,human,kidney
GSE226997_GSM7089855,human,colon
GSE226997_GSM7089856,human,colon
GSE226997_GSM7089857,human,colon
GSE226997_GSM7089858,human,colon
GSE227019_GSM7090083,human,ovary
GSE227019_GSM7090084,human,ovary
GSE227019_GSM7090085,human,ovary
GSE227019_GSM7090086,human,ovary
GSE227019_GSM7090087,human,ovary
GSE227019_GSM7090088,human,ovary
GSE227045_GSM7090416,mouse,kidney
GSE228972_GSM7146857,human,joint
GSE228972_GSM7146858,human,joint
GSE228972_GSM7146859,human,joint
GSE228972_GSM7146860,human,joint
GSE229635_GSM7169587,fish,the main electric organ
GSE229635_GSM7169588,fish,the main electric organ
GSE229635_GSM7169589,fish,the main electric organ
GSE233254_GSM7421780,human,pancreas
GSE233254_GSM7421781,human,pancreas
GSE233254_GSM7421782,human,pancreas
GSE233254_GSM7421783,human,pancreas
GSE233254_GSM7421784,human,pancreas
GSE233254_GSM7421785,human,pancreas
GSE233254_GSM7421786,human,pancreas
GSE233254_GSM7421787,human,pancreas
GSE233254_GSM7421788,human,pancreas
GSE233254_GSM7421789,human,pancreas
GSE233254_GSM7421790,human,pancreas
GSE233254_GSM7421791,human,pancreas
GSE233254_GSM7421792,human,pancreas
GSE233254_GSM7422460,mouse,pancreas
GSE233254_GSM7422461,mouse,pancreas
GSE233512_GSM7429786,mouse,kidney
GSE233512_GSM7429787,mouse,kidney
GSE233512_GSM7429788,mouse,kidney
GSE233512_GSM7429789,mouse,kidney
GSE235672_GSM7507311,human,brain
GSE235672_GSM7507312,human,brain
GSE235672_GSM7507313,human,brain
GSE235672_GSM7507314,human,brain
GSE235672_GSM7507315,human,brain
GSE235672_GSM7507316,human,brain
GSE235672_GSM7507317,human,brain
GSE235672_GSM7507318,human,brain
GSE235672_GSM7507319,human,brain
GSE235672_GSM7507320,human,brain
GSE235672_GSM7507321,human,brain
GSE235672_GSM7507322,human,brain
GSE235672_GSM7507323,human,brain
GSE235672_GSM7507324,human,brain
GSE235672_GSM7507325,human,brain
GSE235672_GSM7507326,human,brain
GSE235742_GSM7508783,mouse,colon
GSE235742_GSM7508784,mouse,colon
GSE235742_GSM7508785,mouse,colon
GSE236424_GSM7536059,mouse,liver
GSE236424_GSM7536060,mouse,liver
GSE236424_GSM7536061,mouse,liver
GSE236424_GSM7536062,mouse,liver
GSE236424_GSM7536063,mouse,liver
GSE236424_GSM7536065,mouse,liver
GSE236424_GSM7536066,mouse,liver
GSE236424_GSM7536067,mouse,liver
GSE236424_GSM7536068,mouse,liver
GSE236424_GSM7536070,mouse,liver
GSE236424_GSM7536071,mouse,liver
GSE236424_GSM7536072,mouse,liver
GSE236424_GSM7536073,mouse,liver
GSE236424_GSM7536075,mouse,liver
GSE236424_GSM7536076,mouse,liver
GSE236424_GSM7536077,mouse,liver
GSE236424_GSM7536078,mouse,liver
GSE236424_GSM7536079,mouse,liver
GSE236424_GSM7536080,mouse,liver
GSE236424_GSM7536081,mouse,liver
GSE236424_GSM7536082,mouse,liver
GSE236424_GSM7536084,mouse,liver
GSE236424_GSM7536085,mouse,liver
GSE237183_GSM7596587,human,glioblastoma
GSE237183_GSM7596588,human,glioblastoma
GSE237183_GSM7596589,human,glioblastoma
GSE237183_GSM7596590,human,glioblastoma
GSE237183_GSM7596591,human,glioblastoma
GSE237183_GSM7596592,human,glioblastoma
GSE237183_GSM7596593,human,glioblastoma
GSE237183_GSM7596594,human,glioblastoma
GSE237183_GSM7596595,human,glioblastoma
GSE237183_GSM7596596,human,glioblastoma
GSE237183_GSM7596597,human,glioblastoma
GSE237183_GSM7596598,human,glioblastoma
GSE237183_GSM7596599,human,glioblastoma
GSE237183_GSM7596600,human,glioma
GSE237183_GSM7596601,human,glioma
GSE237183_GSM7596602,human,glioma
GSE237183_GSM7596603,human,glioma
GSE237183_GSM7596604,human,glioma
